iter	Passed	Remaining
0	130	129946
1	134	66967
2	138	46052
3	143	35705
4	148	29454
5	151	25106
6	155	22043
7	159	19799
8	163	18017
9	167	16583
10	171	15425
11	174	14397
12	177	13485
13	179	12644
14	181	11912
15	183	11276
16	185	10709
17	186	10200
18	188	9734
19	190	9318
20	191	8928
21	192	8578
22	194	8254
23	195	7963
24	197	7688
25	198	7434
26	199	7194
27	201	6977
28	202	6768
29	203	6572
30	204	6386
31	205	6208
32	206	6042
33	207	5886
34	208	5738
35	208	5593
36	209	5458
37	210	5330
38	211	5209
39	212	5093
40	213	4983
41	214	4888
42	215	4791
43	216	4693
44	216	4602
45	217	4515
46	218	4433
47	219	4353
48	220	4275
49	221	4200
50	221	4128
51	222	4059
52	223	3992
53	224	3929
54	225	3869
55	226	3810
56	226	3752
57	227	3696
58	228	3645
59	229	3595
60	230	3545
61	231	3496
62	231	3449
63	232	3405
64	233	3361
65	234	3318
66	235	3276
67	236	3235
68	236	3195
69	237	3156
70	238	3118
71	239	3081
72	239	3046
73	240	3010
74	241	2977
75	242	2944
76	242	2912
77	243	2881
78	244	2852
79	245	2823
80	246	2794
81	247	2766
82	247	2734
83	248	2707
84	249	2680
85	249	2655
86	250	2630
87	251	2605
88	252	2581
89	252	2557
90	253	2533
91	254	2510
92	255	2488
93	255	2465
94	256	2444
95	257	2424
96	258	2403
97	259	2385
98	260	2366
99	260	2347
100	261	2328
101	262	2310
102	263	2291
103	263	2273
104	264	2255
105	265	2238
106	266	2221
107	266	2204
108	267	2187
109	268	2171
110	269	2155
111	270	2141
112	270	2126
113	271	2111
114	272	2096
115	273	2086
116	274	2072
117	275	2059
118	276	2046
119	277	2032
120	278	2019
121	278	2005
122	279	1992
123	280	1979
124	280	1966
125	281	1954
126	282	1941
127	283	1929
128	284	1918
129	284	1906
130	285	1893
131	286	1882
132	287	1871
133	287	1860
134	289	1852
135	290	1843
136	291	1834
137	292	1824
138	292	1814
139	293	1804
140	294	1795
141	295	1783
142	295	1773
143	296	1764
144	297	1754
145	298	1745
146	299	1735
147	299	1726
148	300	1717
149	301	1709
150	302	1701
151	303	1695
152	304	1687
153	305	1679
154	306	1670
155	307	1662
156	308	1654
157	308	1646
158	309	1638
159	310	1630
160	311	1621
161	311	1613
162	312	1605
163	313	1597
164	314	1590
165	315	1582
166	315	1575
167	316	1568
168	317	1560
169	318	1554
170	319	1548
171	320	1541
172	321	1534
173	321	1528
174	322	1521
175	323	1514
176	324	1508
177	325	1501
178	325	1494
179	326	1487
180	327	1481
181	328	1475
182	329	1469
183	330	1463
184	330	1457
185	331	1451
186	332	1445
187	333	1441
188	334	1435
189	335	1429
190	336	1424
191	337	1418
192	337	1412
193	338	1407
194	339	1401
195	340	1395
196	341	1390
197	341	1384
198	342	1380
199	343	1375
200	344	1370
201	345	1364
202	346	1359
203	347	1354
204	347	1349
205	348	1344
206	349	1339
207	350	1335
208	351	1330
209	352	1325
210	353	1320
211	353	1315
212	354	1310
213	355	1305
214	356	1300
215	357	1295
216	357	1291
217	358	1286
218	359	1281
219	360	1277
220	361	1272
221	361	1268
222	362	1263
223	363	1260
224	364	1255
225	365	1251
226	366	1246
227	366	1242
228	367	1238
229	368	1233
230	369	1229
231	370	1226
232	371	1222
233	372	1218
234	372	1214
235	373	1210
236	374	1206
237	375	1202
238	376	1198
239	377	1194
240	378	1191
241	379	1188
242	380	1185
243	381	1181
244	382	1178
245	382	1173
246	383	1169
247	384	1165
248	385	1161
249	386	1158
250	386	1154
251	387	1150
252	388	1146
253	389	1142
254	389	1139
255	390	1135
256	391	1132
257	392	1128
258	393	1125
259	394	1122
260	395	1118
261	395	1115
262	396	1112
263	397	1108
264	398	1105
265	399	1101
266	400	1098
267	400	1094
268	401	1091
269	402	1088
270	403	1084
271	404	1081
272	404	1078
273	405	1075
274	406	1072
275	407	1069
276	408	1066
277	409	1063
278	410	1060
279	411	1057
280	411	1054
281	412	1050
282	413	1048
283	414	1044
284	415	1041
285	416	1038
286	416	1035
287	417	1032
288	418	1029
289	419	1026
290	419	1023
291	420	1020
292	421	1017
293	422	1014
294	423	1012
295	424	1009
296	425	1006
297	425	1003
298	426	1000
299	427	997
300	428	995
301	429	992
302	430	989
303	430	986
304	431	983
305	432	981
306	433	978
307	434	975
308	435	973
309	435	970
310	436	967
311	437	964
312	438	962
313	439	960
314	440	957
315	441	955
316	442	952
317	442	949
318	443	947
319	444	944
320	445	941
321	446	939
322	446	936
323	447	933
324	448	931
325	449	928
326	450	926
327	450	923
328	451	921
329	452	918
330	453	916
331	454	914
332	455	911
333	455	909
334	456	906
335	457	904
336	458	901
337	459	899
338	460	897
339	460	894
340	461	892
341	462	889
342	463	888
343	464	885
344	465	883
345	466	880
346	466	878
347	467	876
348	468	874
349	469	872
350	470	869
351	471	867
352	471	864
353	472	862
354	473	860
355	474	858
356	475	856
357	476	854
358	477	852
359	478	849
360	478	847
361	479	845
362	480	843
363	481	841
364	482	839
365	483	837
366	484	835
367	485	833
368	486	831
369	487	829
370	488	827
371	489	825
372	489	823
373	490	821
374	491	819
375	492	817
376	493	814
377	493	812
378	494	810
379	495	808
380	496	806
381	497	804
382	498	802
383	499	800
384	500	798
385	500	796
386	501	794
387	502	792
388	503	790
389	504	788
390	505	786
391	506	784
392	506	782
393	507	780
394	508	778
395	509	776
396	509	774
397	510	772
398	511	770
399	512	768
400	513	766
401	514	764
402	514	762
403	515	761
404	516	759
405	517	757
406	518	755
407	519	753
408	519	751
409	520	749
410	521	747
411	522	745
412	523	743
413	524	741
414	524	739
415	525	738
416	526	736
417	527	734
418	528	733
419	529	731
420	530	729
421	531	728
422	532	726
423	533	724
424	534	722
425	535	720
426	535	719
427	536	717
428	537	715
429	538	714
430	539	712
431	540	710
432	541	708
433	541	706
434	542	704
435	543	702
436	544	701
437	545	699
438	545	697
439	546	696
440	547	694
441	548	692
442	549	690
443	550	689
444	551	687
445	551	685
446	552	684
447	553	682
448	554	680
449	555	678
450	556	677
451	557	675
452	558	673
453	559	672
454	559	670
455	560	669
456	561	667
457	562	665
458	563	664
459	564	662
460	565	660
461	566	659
462	567	657
463	567	656
464	568	654
465	569	652
466	570	651
467	571	649
468	572	647
469	572	646
470	574	644
471	575	643
472	575	641
473	576	639
474	577	638
475	578	636
476	579	635
477	580	633
478	580	631
479	581	630
480	582	628
481	583	626
482	584	625
483	584	623
484	585	621
485	586	620
486	587	618
487	588	617
488	589	615
489	590	614
490	591	612
491	591	611
492	592	609
493	593	608
494	594	606
495	595	604
496	596	603
497	597	601
498	597	600
499	598	598
500	599	597
501	600	595
502	601	593
503	601	592
504	602	590
505	603	589
506	604	588
507	605	586
508	606	585
509	607	583
510	608	582
511	609	580
512	610	579
513	610	577
514	611	575
515	612	574
516	613	572
517	614	571
518	614	569
519	615	568
520	616	566
521	617	565
522	618	563
523	619	562
524	620	561
525	621	559
526	621	558
527	622	556
528	623	555
529	624	553
530	625	552
531	626	550
532	627	549
533	627	547
534	628	546
535	629	545
536	630	543
537	631	542
538	631	540
539	632	539
540	634	537
541	635	536
542	635	535
543	636	533
544	637	532
545	638	531
546	639	529
547	640	528
548	641	526
549	642	525
550	642	523
551	643	522
552	644	521
553	645	519
554	646	518
555	647	516
556	648	515
557	649	514
558	650	512
559	650	511
560	651	509
561	652	508
562	653	507
563	654	505
564	654	504
565	655	502
566	656	501
567	657	500
568	658	498
569	659	497
570	660	496
571	661	494
572	661	493
573	662	491
574	664	490
575	664	489
576	665	488
577	666	486
578	667	485
579	668	483
580	669	482
581	670	481
582	671	480
583	672	478
584	672	477
585	673	476
586	674	474
587	675	473
588	676	472
589	677	470
590	678	469
591	679	468
592	680	467
593	681	465
594	682	464
595	683	463
596	684	461
597	685	460
598	685	459
599	686	457
600	687	456
601	688	455
602	689	453
603	690	452
604	690	451
605	691	449
606	692	448
607	694	447
608	695	446
609	696	445
610	697	444
611	698	442
612	699	441
613	700	440
614	701	439
615	702	437
616	702	436
617	703	434
618	704	433
619	705	432
620	706	431
621	707	429
622	708	428
623	709	427
624	710	426
625	711	425
626	712	423
627	713	422
628	714	421
629	715	420
630	716	418
631	716	417
632	717	416
633	718	414
634	719	413
635	720	412
636	721	411
637	722	409
638	723	408
639	724	407
640	725	406
641	726	405
642	727	403
643	728	402
644	729	401
645	730	400
646	731	398
647	732	397
648	733	396
649	734	395
650	735	394
651	736	392
652	736	391
653	737	390
654	739	389
655	740	388
656	741	387
657	742	386
658	743	384
659	744	383
660	745	382
661	746	381
662	747	380
663	748	378
664	749	377
665	750	376
666	751	375
667	752	373
668	753	372
669	754	371
670	755	370
671	756	369
672	757	368
673	758	367
674	759	365
675	760	364
676	761	363
677	762	362
678	763	360
679	764	359
680	765	358
681	766	357
682	766	355
683	768	354
684	769	354
685	771	352
686	772	351
687	773	350
688	774	349
689	774	348
690	776	347
691	776	345
692	777	344
693	778	343
694	779	342
695	780	340
696	780	339
697	781	338
698	783	337
699	784	336
700	785	335
701	786	333
702	787	332
703	787	331
704	788	330
705	789	328
706	790	327
707	791	326
708	792	325
709	793	324
710	794	322
711	795	321
712	795	320
713	796	319
714	797	318
715	798	316
716	799	315
717	800	314
718	801	313
719	802	312
720	803	311
721	804	309
722	805	308
723	806	307
724	807	306
725	808	305
726	809	303
727	810	302
728	811	301
729	812	300
730	813	299
731	814	298
732	815	297
733	816	295
734	817	294
735	818	293
736	819	292
737	820	291
738	821	290
739	822	289
740	823	287
741	824	286
742	824	285
743	825	284
744	826	282
745	827	281
746	828	280
747	830	279
748	831	278
749	832	277
750	833	276
751	833	275
752	835	273
753	835	272
754	836	271
755	837	270
756	838	269
757	839	268
758	840	266
759	841	265
760	842	264
761	843	263
762	844	262
763	845	261
764	846	260
765	847	258
766	848	257
767	849	256
768	850	255
769	851	254
770	852	253
771	853	252
772	854	250
773	855	249
774	856	248
775	857	247
776	858	246
777	859	245
778	860	244
779	861	242
780	862	241
781	863	240
782	864	239
783	865	238
784	866	237
785	867	236
786	868	234
787	869	233
788	870	232
789	871	231
790	872	230
791	873	229
792	874	228
793	875	227
794	876	225
795	877	224
796	878	223
797	879	222
798	880	221
799	880	220
800	881	219
801	882	217
802	883	216
803	884	215
804	885	214
805	886	213
806	887	212
807	888	211
808	889	209
809	889	208
810	890	207
811	891	206
812	892	205
813	893	204
814	894	202
815	894	201
816	895	200
817	896	199
818	897	198
819	898	197
820	899	196
821	899	194
822	900	193
823	901	192
824	902	191
825	903	190
826	904	189
827	905	188
828	906	186
829	907	185
830	908	184
831	908	183
832	910	182
833	910	181
834	911	180
835	912	179
836	913	177
837	914	176
838	915	175
839	916	174
840	917	173
841	917	172
842	918	171
843	919	169
844	920	168
845	921	167
846	922	166
847	923	165
848	924	164
849	924	163
850	925	162
851	926	160
852	927	159
853	928	158
854	928	157
855	929	156
856	930	155
857	931	154
858	932	153
859	933	151
860	934	150
861	935	149
862	936	148
863	937	147
864	937	146
865	939	145
866	940	144
867	940	143
868	941	141
869	942	140
870	943	139
871	944	138
872	945	137
873	946	136
874	947	135
875	948	134
876	949	133
877	951	132
878	952	131
879	953	129
880	954	128
881	954	127
882	955	126
883	956	125
884	957	124
885	958	123
886	959	122
887	961	121
888	962	120
889	963	119
890	964	118
891	965	116
892	966	115
893	967	114
894	968	113
895	970	112
896	970	111
897	971	110
898	972	109
899	973	108
900	974	107
901	975	106
902	977	104
903	978	103
904	979	102
905	980	101
906	981	100
907	982	99
908	983	98
909	984	97
910	985	96
911	986	95
912	986	94
913	987	92
914	988	91
915	989	90
916	990	89
917	991	88
918	992	87
919	993	86
920	994	85
921	995	84
922	995	83
923	996	81
924	997	80
925	998	79
926	999	78
927	1000	77
928	1001	76
929	1002	75
930	1002	74
931	1003	73
932	1004	72
933	1006	71
934	1006	70
935	1007	68
936	1008	67
937	1009	66
938	1010	65
939	1011	64
940	1012	63
941	1013	62
942	1013	61
943	1014	60
944	1015	59
945	1016	58
946	1017	56
947	1018	55
948	1018	54
949	1020	53
950	1020	52
951	1021	51
952	1022	50
953	1023	49
954	1024	48
955	1025	47
956	1026	46
957	1026	45
958	1027	43
959	1028	42
960	1029	41
961	1030	40
962	1030	39
963	1031	38
964	1032	37
965	1033	36
966	1033	35
967	1034	34
968	1035	33
969	1036	32
970	1037	30
971	1038	29
972	1039	28
973	1039	27
974	1040	26
975	1041	25
976	1042	24
977	1043	23
978	1043	22
979	1044	21
980	1045	20
981	1046	19
982	1046	18
983	1047	17
984	1048	15
985	1049	14
986	1050	13
987	1051	12
988	1052	11
989	1052	10
990	1053	9
991	1054	8
992	1055	7
993	1056	6
994	1056	5
995	1057	4
996	1058	3
997	1059	2
998	1059	1
999	1060	0
