iter	Passed	Remaining
0	1	115
1	2	104
2	3	98
3	3	90
4	4	90
5	5	87
6	6	87
7	7	85
8	8	84
9	9	84
10	10	84
11	11	84
12	12	83
13	13	83
14	14	83
15	15	83
16	16	82
17	17	81
18	18	80
19	19	79
20	20	78
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	67
30	30	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	58
38	36	57
39	37	56
40	38	55
41	39	53
42	40	53
43	40	51
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	30
66	61	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
